xi,yi,zi,Syy,Vx,Vy,aid,step
7,46,11,-40.2931,-1.72434,5.50113,[50434],1
7,57,11,-32.8036,-0.85567,-5.09387,[749042],1
8,60,11,48.3757,3.56131,7.50845,[232189],1
9,42,2,-52.47085,1.4319950000000001,3.9980149999999997,[783700 662425],1
9,46,11,11.2288,1.63073,-4.7603,[154317],1
9,48,11,3.424200000000004,-0.3550443333333333,-4.001127333333334,[614728 614732 614729],1
10,40,2,-18.3247,-0.317422,-4.27449,[107681],1
10,46,11,-8.20537,-3.28826,5.69511,[275697],1
10,58,11,-16.2245,-5.33048,-4.80084,[968135],1
11,38,9,-23.251155,0.4380235,-4.33433,[874626  80495],1
11,58,11,-0.306065,3.83841,-4.61285,[695238],1
12,36,11,17.265,3.5036,5.54649,[680075],1
12,41,11,32.6455,0.222825,-4.31389,[773384],1
12,51,11,34.2569,-2.68011,-5.05136,[579620],1
13,34,8,49.5673,2.07268,4.03532,[360844],1
13,47,11,-45.4612,-2.756845,5.7330000000000005,[508041 508040],1
13,54,11,-40.8079,-1.1541,4.69061,[983430],1
14,41,11,8.636050000000001,0.4258749999999999,-4.365685,[389756 389757],1
15,30,0,-17.9538,-4.22432,-4.45663,[928929],1
15,30,1,16.5709,-3.60182,-5.99816,[114703],1
15,30,8,-53.452,-1.10762,5.21097,[791142],1
15,33,11,1.23051,-0.864506,8.07504,[876358],1
15,36,11,11.0516,-1.9456,-6.99914,[873235],1
15,39,11,13.8321,6.46406,-5.12853,[480347],1
16,31,11,6.21546,-2.67836,4.07984,[800336],1
17,31,11,-17.3104,-2.7672,-4.07662,[98199],1
17,37,11,-4.21495,1.55719,-4.03217,[733385 733392],1
18,28,11,-3.43374,1.60108,5.9727,[185104],1
19,30,11,-16.3436,-0.492338,-6.1085,[486870],1
19,36,11,41.9071,-1.52804,-4.25781,[102090],1
20,21,10,-73.5937,-1.921475,-4.310035,[723442 723441],1
20,31,11,-16.9057,-3.67901,-5.5751,[799166],1
20,33,11,-31.736,-6.58585,4.40497,[875781],1
20,39,11,0.19516,4.3622,-6.37813,[104860],1
20,40,11,-20.120964999999998,2.7277155,-4.097335,[ 30041 154744],1
20,41,11,4.09216,-3.2877,-5.20084,[4737],1
21,19,9,-26.98865,-0.45572999999999997,-4.828195,[722517 390938],1
21,29,11,-25.1495,-0.0266336,4.74142,[33454],1
21,57,11,14.6868,-1.46321,6.1726,[335632],1
22,17,5,-40.8056,3.5243,-7.37643,[179787],1
22,20,11,93.8671,0.857761,-5.41294,[723421],1
22,30,11,-55.4604,-2.2229413,-4.14093,[60100 60099],1
22,45,11,-54.1722,2.14416,4.4452,[596434],1
23,15,1,-26.1126,-4.129696666666667,-4.467116666666667,[329294 329295 751341],1
23,55,11,42.978134999999995,0.28737199999999996,5.101745,[729897 729853],1
24,31,11,32.4054,0.923997,4.07141,[875847],1
25,26,11,6.79558,-4.0389,8.29908,[52790],1
25,28,11,11.6348,-1.66146,-4.94331,[60059],1
25,31,11,12.05375,-1.99986,5.60016,[876079 935448],1
25,38,11,80.613,2.66005,5.43913,[20427],1
25,48,11,24.5848,-0.0197645,4.70655,[579487],1
26,10,11,21.12275,-1.467845,-4.66216,[93960 93959],1
26,22,11,-26.523290000000003,-1.473085,-4.861325,[309408 309409],1
26,36,11,16.8266,1.1403385000000001,4.82742,[438775 438774],1
26,48,11,-39.2087,1.01616,-4.94745,[579485],1
26,60,11,8.53714,2.29938,-6.30036,[483828],1
27,44,11,-22.3436,-4.46428,-4.78736,[741903],1
28,6,10,16.379355,-0.2330200000000001,-3.9756,[955092 954089 954090],1
28,37,11,12.771909999999998,2.2496850000000004,-4.606665,[793203 793202],1
28,53,11,31.81185,-0.7676350000000001,4.1653400000000005,[658490 439968],1
29,4,9,-61.4786,3.85592,8.2243,[294802],1
29,22,11,15.9923,-0.143981,3.98278,[490116],1
29,59,11,-36.89467500000001,-1.180035,5.0883725,[475205 475209 475207 475208],1
30,27,11,-29.5099,-0.910746,-5.78081,[66309],1
30,51,11,-50.8379,-2.55256,-6.10658,[660124],1
30,57,11,-5.37905,3.36931,4.18107,[492848],1
31,0,10,-20.6067,0.793697,-5.78155,[682879],1
31,13,11,37.4454,-2.00598,-4.47215,[74753],1
31,30,11,29.0426,4.02177,5.15644,[147501],1
31,32,11,-33.792,-1.01907,-4.55619,[327715],1
31,41,11,-15.7035,0.96734,5.01079,[236049 856603 236050],1
31,46,11,64.6248,-1.94281,7.54554,[416710],1
31,54,11,-125.174,6.48676,7.00518,[168225],1
